MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Stranger Things,2016.0,"
Drama, Fantasy, Horror            ",8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","
            
    Stars:
Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour
",0.9870877737218143,0.059788980070339975,0.0
Fear Street: 1978,2021.0,"
Drama, Horror, Mystery            ",6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","
    Director:
Leigh Janiak
| 
    Stars:
Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
",0.04082037430747768,0.12778429073856976,0.0
Friends,1994.0,"
Comedy, Romance            ",8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","
            
    Stars:
Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",0.9815854805425185,0.025791324736225085,0.0
The Flash,2014.0,"
Action, Adventure, Drama            ",7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","
            
    Stars:
Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes
",0.3568623780425297,0.050410316529894486,0.0
Peaky Blinders,2013.0,"
Crime, Drama            ",8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","
            
    Stars:
Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle
",0.4383716421303167,0.07033997655334115,0.0
Chernobyl,2021.0,"
Drama, History, Romance            ",5.0,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.","
    Director:
Danila Kozlovskiy
| 
    Stars:
Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova
",0.005215924336225993,0.15943728018757325,0.0
Vikings,2013.0,"
Action, Adventure, Drama            ",8.5,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","
            
    Stars:
Katheryn Winnick, 
Gustaf Skarsgård, 
Alexander Ludwig, 
Georgia Hirst
",0.5124698588435601,0.05158264947245017,0.0
Better Call Saul,2015.0,"
Crime, Drama            ",8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","
            
    Stars:
Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian
",0.38760858616247923,0.053927315357561546,0.0
Supernatural,2005.0,"
Drama, Fantasy, Horror            ",8.4,"
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","
            
    Stars:
Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins
",0.45047156145675943,0.05158264947245017,0.0
The Blacklist,2013.0,"
Crime, Drama, Mystery            ",8.0,"
A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","
            
    Stars:
James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold
",0.2379223661866367,0.050410316529894486,0.0
Fear Street: 1666,2021.0,"
Horror, Mystery            ",6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch
",0.03058352387447016,0.13364595545134816,0.0
Animal Kingdom,2016.0,"
Crime, Drama            ",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","
            
    Stars:
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole
",0.030002986258752633,0.07033997655334115,0.0
Brooklyn Nine-Nine,2013.0,"
Comedy, Crime            ",8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","
            
    Stars:
Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero
",0.2769899848904221,0.025791324736225085,0.0
NCIS: Naval Criminal Investigative Service,2003.0,"
Action, Crime, Drama            ",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","
            
    Stars:
Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette
",0.1399741933758541,0.07033997655334115,0.0
Kingdom,2019.0,"
Action, Drama, History            ",8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","
            
    Stars:
Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim
",0.03889490597742031,0.052754982415005855,0.0
Modern Family,2009.0,"
Comedy, Drama, Romance            ",8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
",0.42122962546966713,0.025791324736225085,0.0
Titans,2018.0,"
Action, Adventure, Crime            ",7.7,"
A team of young superheroes combat evil and other perils.","
            
    Stars:
Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter
",0.0820730875686951,0.052754982415005855,0.0
The Witcher,2019.0,"
Action, Adventure, Fantasy            ",8.2,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","
            
    Stars:
Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh
",0.37493592914989676,0.07033997655334115,0.0
Downton Abbey,2010.0,"
Drama, Romance            ",8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","
            
    Stars:
Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle
",0.19143701445438377,0.06799531066822977,0.0
Shingeki no kyojin,2013.0,"
Animation, Action, Adventure            ",9.0,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","
            
    Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
",0.27030321669095786,0.028135990621336458,0.0
Suits,2011.0,"
Comedy, Drama            ",8.4,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","
            
    Stars:
Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty
",0.41703214908116826,0.05158264947245017,0.0
La casa de papel,2017.0,"
Action, Crime, Mystery            ",8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","
            
    Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso
",0.3809240465143229,0.08206330597889801,0.0
Schitt's Creek,2015.0,"
Comedy            ",8.5,"
When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","
            
    Stars:
Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy
",0.10109600153324329,0.025791324736225085,0.0
Outlander,2014.0,"
Drama, Fantasy, Romance            ",8.4,"
An English combat nurse from 1945 is mysteriously swept back in time to 1743.","
            
    Stars:
Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton
",0.15041718480484578,0.07502930832356389,0.0
The Last Kingdom,2015.0,"
Action, Drama, History            ",8.4,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","
            
    Stars:
Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady
",0.10546619064810729,0.07033997655334115,0.0
Black Mirror,2011.0,"
Drama, Sci-Fi, Thriller            ",8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","
            
    Stars:
Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones
",0.5230487919023359,0.07033997655334115,0.0
Ozark,2017.0,"
Crime, Drama, Thriller            ",8.4,"
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","
            
    Stars:
Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner
",0.2296410695263437,0.07033997655334115,0.0
The Crown,2016.0,"
Biography, Drama, History            ",8.6,"
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","
            
    Stars:
Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith
",0.1888886660337581,0.06799531066822977,0.0
Sweet Tooth,2021.0,"
Action, Adventure, Drama            ",7.9,"
A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.","
            
    Stars:
Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen
",0.04138642633969362,0.0,0.0
Army of the Dead,2021.0,"
Action, Crime, Horror            ",5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","
    Director:
Zack Snyder
| 
    Stars:
Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick
",0.14750558252102636,0.1735052754982415,0.0
Fargo,2014.0,"
Crime, Drama, Thriller            ",8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","
            
    Stars:
Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks
",0.380214252922745,0.062133645955451344,0.0
How I Met Your Mother,2005.0,"
Comedy, Romance            ",8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","
            
    Stars:
Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris
",0.6953481219998127,0.025791324736225085,0.0
Community,2009.0,"
Comedy            ",8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","
            
    Stars:
Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase
",0.25741216165019765,0.025791324736225085,0.0
Sons of Anarchy,2008.0,"
Crime, Drama, Thriller            ",8.5,"
A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","
            
    Stars:
Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates
",0.30135027923747887,0.052754982415005855,0.0
StartUp,2016.0,"
Crime, Thriller            ",7.9,"
A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","
            
    Stars:
Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza
",0.025596026047307686,0.05158264947245017,0.0
The Vampire Diaries,2009.0,"
Drama, Fantasy, Horror            ",7.7,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","
            
    Stars:
Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham
",0.326966362246558,0.050410316529894486,0.0
365 dni,2020.0,"
Drama, Romance            ",3.3,"
Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","
    Directors:
Barbara Bialowas, 
Tomasz Mandes
| 
    Stars:
Anna Maria Sieklucka, 
Michele Morrone, 
Bronislaw Wroclawski, 
Otar Saralidze
",0.07089021710546842,0.13364595545134816,0.0
How to Sell Drugs Online (Fast),2019.0,"
Comedy, Crime, Drama            ",7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","
            
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",0.026698044669082415,0.035169988276670575,0.0
Good Girls,2018.0,"
Comedy, Crime, Drama            ",7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.","
            
    Stars:
Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson
",0.04303109720495095,0.050410316529894486,0.0
13 Reasons Why,2017.0,"
Drama, Mystery, Thriller            ",7.6,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","
            
    Stars:
Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe
",0.2968274343580212,0.07033997655334115,0.0
The Queen's Gambit,2020.0,"
Drama            ",8.6,"
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","
            
    Stars:
Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski
",0.37528915453220474,0.4630715123094959,0.0
Legends of Tomorrow,2016.0,"
Action, Adventure, Drama            ",6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","
            
    Stars:
Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano
",0.10685569238860586,0.0492379835873388,0.0
Star Trek: The Next Generation,1987.0,"
Action, Adventure, Mystery            ",8.6,"
Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","
            
    Stars:
Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton
",0.11831490321401669,0.05158264947245017,0.0
Le dernier mercenaire,2021.0,"
Action, Comedy            ",5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","
    Director:
David Charhon
| 
    Stars:
Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla
",0.0029038023542416014,0.12895662368112543,0.0
Resort to Love,2021.0,"
Comedy, Romance            ",5.7,"
Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","
    Director:
Steven K. Tsuchida
| 
    Stars:
Christina Milian, 
Tymberlee Hill, 
Kayne Lee Harrison, 
Ruth Nadler-Nir
",0.0017728125654636944,0.11840562719812425,0.0
Evil,2019.0,"
Crime, Drama, Horror            ",7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","
            
    Stars:
Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco
",0.0167676200409162,0.0492379835873388,0.0
The Expanse,2015.0,"
Drama, Mystery, Sci-Fi            ",8.5,"
In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","
            
    Stars:
Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo
",0.133316396343393,0.07033997655334115,0.0
New Amsterdam,2018.0,"
Drama            ",8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.","
            
    Stars:
Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims
",0.030875464095809876,0.050410316529894486,0.0
Line of Duty,2012.0,"
Crime, Drama, Mystery            ",8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","
            
    Stars:
Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson
",0.05209350109867579,0.07033997655334115,0.0
The 100,2014.0,"
Drama, Mystery, Sci-Fi            ",7.6,"
Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","
            
    Stars:
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington
",0.25289823097597175,0.050410316529894486,0.0
New Girl,2011.0,"
Comedy            ",7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","
            
    Stars:
Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
",0.22332424084399694,0.025791324736225085,0.0
Prison Break,2005.0,"
Action, Crime, Drama            ",8.3,"
Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","
            
    Stars:
Dominic Purcell, 
Wentworth Miller, 
Amaury Nolasco, 
Robert Knepper
",0.5487116744888817,0.05158264947245017,0.0
Sex Education,2019.0,"
Comedy, Drama            ",8.3,"
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.","
            
    Stars:
Asa Butterfield, 
Gillian Anderson, 
Ncuti Gatwa, 
Emma Mackey
",0.19753210228159082,0.052754982415005855,0.0
A Classic Horror Story,2021.0,"
Drama, Horror, Mystery            ",5.7,"
In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","
    Directors:
Roberto De Feo, 
Paolo Strippoli
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
",0.009830139819309058,0.11137162954279015,0.0
Feels Like Ishq,2021.0,"
Comedy, Drama, Romance            ",6.6,"
Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.","
            
    Stars:
Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",0.0,0.03751465416178194,0.0
Young Royals,2021.0,"
Drama, Romance            ",8.6,"
Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","
            
    Stars:
Edvin Ryding, 
Omar Rudberg, 
Frida Argento, 
Samuel Astor
",0.018891429437379936,0.058616647127784284,0.0
Shadow and Bone,2021.0,"
Action, Adventure, Drama            ",7.7,"
Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.","
            
    Stars:
Jessie Mei Li, 
Ben Barnes, 
Archie Renaux, 
Freddy Carter
",0.06717187924817593,0.0,0.0
The Hitman's Bodyguard,2017.0,"
Action, Comedy, Crime            ",6.9,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
",0.22951738492875323,0.13833528722157093,0.14973909247832387
Mad Men,2007.0,"
Drama            ",8.6,"
A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","
            
    Stars:
Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
",0.24090973921492595,0.05509964830011723,0.0
Élite,2018.0,"
Crime, Drama, Thriller            ",7.5,"
When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","
            
    Stars:
Itzan Escamilla, 
Omar Ayuso, 
Miguel Bernardeau, 
Arón Piper
",0.06655568481153142,0.07033997655334115,0.0
Gilmore Girls,2000.0,"
Comedy, Drama            ",8.1,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","
            
    Stars:
Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
",0.11883749849572786,0.05158264947245017,0.0
Sky Rojo,2021.0,"
Action, Adventure, Crime            ",6.5,"
Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.","
            
    Stars:
Verónica Sánchez, 
Miguel Ángel Silvestre, 
Asier Etxeandia, 
Lali Espósito
",0.007733073038540567,0.03634232121922626,0.0
Lupin,2021.0,"
Action, Crime, Drama            ",7.5,"
Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","
            
    Stars:
Omar Sy, 
Ludivine Sagnier, 
Hervé Pierre, 
Soufiane Guerrab
",0.0940760649132425,0.052754982415005855,0.0
Trollhunters: Rise of the Titans,2021.0,"
Animation, Action, Adventure            ",6.9,"
The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.","
    Directors:
Johane Matte, 
Francisco Ruiz-Velasco, 
Andrew L. Schmidt
| 
    Stars:
Steve Alterman, 
Kay Bess, 
Brian Blessed, 
Vic Chao
",0.0026218906137876015,0.12192262602579132,0.0
Heartland,2007.0,"
Drama, Family            ",8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","
            
    Stars:
Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
",0.013108338793284036,0.052754982415005855,0.0
Jurassic Park,1993.0,"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",0.9999999999999999,0.14888628370457208,0.7984960615860797
